770966,LAUNCH!
773065,LAUNCH!
5529,F,2.41,90,-163,-655,217,-594,22824,434,1273,566
5529,F,2.41,90,-163,-655,217,-594,22824,434,1273,566
5529,F,2.41,90,-163,-655,217,-594,22824,434,1273,566
5529,F,2.41,90,-163,-655,217,-594,22824,434,1273,566
5529,F,2.41,90,-163,-655,217,-594,22824,434,1273,566
5529,F,2.41,90,-163,-655,217,-594,22824,434,1273,566
5634,F,5.03,119,-169,-670,-148,-646,27074,282,605,320
5529,F,2.41,90,-163,-655,217,-594,22824,434,1273,566
5634,F,5.03,119,-169,-670,-148,-646,27074,282,605,320
5529,F,2.41,90,-163,-655,217,-594,22824,434,1273,566
5634,F,5.03,119,-169,-670,-148,-646,27074,282,605,320
5529,F,2.41,90,-163,-655,217,-594,22824,434,1273,566
5634,F,5.03,119,-169,-670,-148,-646,27074,282,605,320
5529,F,2.41,90,-163,-655,217,-594,22824,434,1273,566
5634,F,5.03,119,-169,-670,-148,-646,27074,282,605,320
5529,F,2.41,90,-163,-655,217,-594,22824,434,1273,566
5634,F,5.03,119,-169,-670,-148,-646,27074,282,605,320
5738,F,7.47,137,-168,-683,-703,509,32767,-403,826,-407
5529,F,2.41,90,-163,-655,217,-594,22824,434,1273,566
5634,F,5.03,119,-169,-670,-148,-646,27074,282,605,320
5738,F,7.47,137,-168,-683,-703,509,32767,-403,826,-407
5529,F,2.41,90,-163,-655,217,-594,22824,434,1273,566
5634,F,5.03,119,-169,-670,-148,-646,27074,282,605,320
5738,F,7.47,137,-168,-683,-703,509,32767,-403,826,-407
5529,F,2.41,90,-163,-655,217,-594,22824,434,1273,566
5634,F,5.03,119,-169,-670,-148,-646,27074,282,605,320
5738,F,7.47,137,-168,-683,-703,509,32767,-403,826,-407
5529,F,2.41,90,-163,-655,217,-594,22824,434,1273,566
5634,F,5.03,119,-169,-670,-148,-646,27074,282,605,320
5738,F,7.47,137,-168,-683,-703,509,32767,-403,826,-407
5529,F,2.41,90,-163,-655,217,-594,22824,434,1273,566
5634,F,5.03,119,-169,-670,-148,-646,27074,282,605,320
5738,F,7.47,137,-168,-683,-703,509,32767,-403,826,-407
5843,F,10.68,162,-167,-647,-4517,-3024,32767,440,71,-597
5529,F,2.41,90,-163,-655,217,-594,22824,434,1273,566
5634,F,5.03,119,-169,-670,-148,-646,27074,282,605,320
5738,F,7.47,137,-168,-683,-703,509,32767,-403,826,-407
5843,F,10.68,162,-167,-647,-4517,-3024,32767,440,71,-597
5529,F,2.41,90,-163,-655,217,-594,22824,434,1273,566
5634,F,5.03,119,-169,-670,-148,-646,27074,282,605,320
5738,F,7.47,137,-168,-683,-703,509,32767,-403,826,-407
5843,F,10.68,162,-167,-647,-4517,-3024,32767,440,71,-597
